Year,Month,SalesAmount,YM
2010,12,43421.0364,2010-12
2011,1,469823.9148,2011-01
2011,2,466334.903,2011-02
2011,3,485198.6594,2011-03
2011,4,502073.8458,2011-04
2011,5,561681.4758,2011-05
2011,6,737839.8214,2011-06
2011,7,596746.5568,2011-07
2011,8,614557.935,2011-08
2011,9,603083.4976,2011-09
2011,10,708208.0032,2011-10
2011,11,660545.8132,2011-11
2011,12,669431.5031,2011-12
2012,1,495364.1261,2012-01
2012,2,506994.1876,2012-02
2012,3,373483.0054,2012-03
2012,4,400335.6145,2012-04
2012,5,358877.8907,2012-05
2012,6,555160.1428,2012-06
2012,7,444558.2281,2012-07
2012,8,523917.3815,2012-08
2012,9,486177.4502,2012-09
2012,10,535159.4846,2012-10
2012,11,537955.517,2012-11
2012,12,624502.1667,2012-12
2013,1,857689.91,2013-01
2013,2,771348.74,2013-02
2013,3,1049907.39,2013-03
2013,4,1046022.77,2013-04
2013,5,1284592.93,2013-05
2013,6,1643177.78,2013-06
2013,7,1371675.81,2013-07
2013,8,1551065.56,2013-08
2013,9,1447495.69,2013-09
2013,10,1673293.41,2013-10
2013,11,1780920.06,2013-11
2013,12,1874360.29,2013-12
2014,1,45694.72,2014-01
